,congress,bill_number,sponsor_title,sponsor_name,sponsor_state,cosponsor_name,cosponsor_bioguide_id,date_signed,cosponsor_icpsr
0,115,hr5001,Rep.,Joseph Crowley,NY,Alan Lowenthal,L000579,2018-02-13,21313
1,115,hr5001,Rep.,Joseph Crowley,NY,Adriano Espaillat,E000297,2018-02-15,21715
2,115,hr5001,Rep.,Joseph Crowley,NY,Earl Blumenauer,B000574,2018-02-15,29588
3,115,hr5001,Rep.,Joseph Crowley,NY,John Yarmuth,Y000062,2018-02-27,20723
4,115,hr5001,Rep.,Joseph Crowley,NY,Bonnie Watson Coleman,W000822,2018-02-27,21538
5,115,hr5001,Rep.,Joseph Crowley,NY,Sean Patrick Maloney,M001185,2018-03-05,21344
6,115,hr5001,Rep.,Joseph Crowley,NY,Carolyn B. Maloney,M000087,2018-03-05,29379
7,115,hr5001,Rep.,Joseph Crowley,NY,Steve Cohen,C001068,2018-03-14,20748
8,115,hr5001,Rep.,Joseph Crowley,NY,Michael E. Capuano,C001037,2018-03-14,29919
9,115,hr5001,Rep.,Joseph Crowley,NY,Eleanor Holmes Norton,N000147,2018-03-22,NA
10,115,hr5001,Rep.,Joseph Crowley,NY,J. Luis Correa,C001110,2018-03-22,21711
11,115,hr5001,Rep.,Joseph Crowley,NY,Susan A. Davis,D000598,2018-04-17,20108
12,115,hr5001,Rep.,Joseph Crowley,NY,Raúl M. Grijalva,G000551,2018-04-25,20305
13,115,hr5001,Rep.,Joseph Crowley,NY,Zoe Lofgren,L000397,2018-04-25,29504
14,115,hr5001,Rep.,Joseph Crowley,NY,Carol Shea-Porter,S001170,2018-05-10,20731
15,115,hr5001,Rep.,Joseph Crowley,NY,Alcee L. Hastings,H000324,2018-05-15,29337
16,115,hr5001,Rep.,Joseph Crowley,NY,Frederica Wilson,W000808,2018-05-15,21118
17,115,hr5001,Rep.,Joseph Crowley,NY,Tony Cárdenas,C001097,2018-07-11,21309
18,115,hr5001,Rep.,Joseph Crowley,NY,David Cicilline,C001084,2018-07-11,21172
19,115,hr5001,Rep.,Joseph Crowley,NY,Anthony Brown,B001304,2018-11-09,21707
20,115,hr5002,Rep.,Debbie Dingell,MI,Fred Upton,U000031,2018-02-13,15446
21,115,hr5002,Rep.,Debbie Dingell,MI,Peter Welch,W000800,2018-03-06,20750
22,115,hr5002,Rep.,Debbie Dingell,MI,Ro Khanna,K000389,2018-04-11,21728
23,115,hr5002,Rep.,Debbie Dingell,MI,Brian Fitzpatrick,F000466,2018-04-11,21718
24,115,hr5002,Rep.,Debbie Dingell,MI,Marsha Blackburn,B001243,2018-05-15,20351
25,115,hr5002,Rep.,Debbie Dingell,MI,David McKinley,M001180,2018-05-15,21188
26,115,hr5002,Rep.,Debbie Dingell,MI,Robert E. Latta,L000566,2018-05-15,20755
27,115,hr5002,Rep.,Debbie Dingell,MI,Greg Walden,W000791,2018-05-24,29932
28,115,hr5002,Rep.,Debbie Dingell,MI,Jaime Herrera Beutler,H001056,2018-05-24,21187
29,115,hr5002,Rep.,Debbie Dingell,MI,Daniel M. Donovan,D000625,2018-05-24,21560
30,115,hr5002,Rep.,Debbie Dingell,MI,Yvette D. Clarke,C001067,2018-05-24,20733
31,115,hr5002,Rep.,Debbie Dingell,MI,John Moolenaar,M001194,2018-06-08,21526
32,115,hr5002,Rep.,Debbie Dingell,MI,Ken Buck,B001297,2018-06-08,21510
33,115,hr5002,Rep.,Debbie Dingell,MI,French Hill,H001072,2018-06-08,21503
34,115,hr5002,Rep.,Debbie Dingell,MI,Mike Coffman,C001077,2018-06-08,20906
35,115,hr5002,Rep.,Debbie Dingell,MI,Rodney Davis,D000619,2018-06-08,21328
36,115,hr5002,Rep.,Debbie Dingell,MI,Evan Jenkins,J000297,2018-06-12,21558
37,115,hr5002,Rep.,Debbie Dingell,MI,Derek Kilmer,K000381,2018-06-12,21368
38,115,hr5002,Rep.,Debbie Dingell,MI,Martha McSally,M001197,2018-06-12,21501
39,115,hr5003,Rep.,Randy Hultgren,IL,C.A. Dutch Ruppersberger,R000576,2018-02-13,20329
40,115,hr5003,Rep.,Randy Hultgren,IL,Luke Messer,M001189,2018-02-13,21332
41,115,hr5003,Rep.,Randy Hultgren,IL,Edward Royce,R000487,2018-02-13,29321
42,115,hr5003,Rep.,Randy Hultgren,IL,Dan Kildee,K000380,2018-02-13,21372
43,115,hr5003,Rep.,Randy Hultgren,IL,Michael E. Capuano,C001037,2018-02-13,29919
44,115,hr5003,Rep.,Randy Hultgren,IL,Collin C. Peterson,P000258,2018-04-11,29127
45,115,hr5003,Rep.,Randy Hultgren,IL,Darren Soto,S001200,2018-04-11,21746
46,115,hr5003,Rep.,Randy Hultgren,IL,Dennis Ross,R000593,2018-04-11,21117
47,115,hr5003,Rep.,Randy Hultgren,IL,Julia Brownley,B001285,2018-04-11,21308
48,115,hr5003,Rep.,Randy Hultgren,IL,Brad Schneider,S001190,2018-04-11,21326
49,115,hr5003,Rep.,Randy Hultgren,IL,Raja Krishnamoorthi,K000391,2018-06-22,21730
50,115,hr5003,Rep.,Randy Hultgren,IL,J. Luis Correa,C001110,2018-06-22,21711
51,115,hr5003,Rep.,Randy Hultgren,IL,Jim McGovern,M000312,2018-06-22,29729
52,115,hr5003,Rep.,Randy Hultgren,IL,John Garamendi,G000559,2018-06-22,20958
53,115,hr5003,Rep.,Randy Hultgren,IL,Eleanor Holmes Norton,N000147,2018-06-22,NA
54,115,hr5003,Rep.,Randy Hultgren,IL,Peter T. King,K000210,2018-06-26,29375
55,115,hr5003,Rep.,Randy Hultgren,IL,Steve Stivers,S001187,2018-07-17,21163
56,115,hr5003,Rep.,Randy Hultgren,IL,Daniel M. Donovan,D000625,2018-07-23,21560
57,115,hr5003,Rep.,Randy Hultgren,IL,Lee Zeldin,Z000017,2018-09-06,21539
58,115,hr5003,Rep.,Randy Hultgren,IL,Grace F. Napolitano,N000179,2018-10-26,29903
59,115,hr5004,Rep.,Jim Langevin,RI,Robert A. Brady,B001227,2018-02-13,29777
60,115,hr5004,Rep.,Jim Langevin,RI,Richard E. Neal,N000015,2018-03-08,15616
61,115,hr5004,Rep.,Jim Langevin,RI,David Young,Y000066,2018-03-19,21521
62,115,hr5004,Rep.,Jim Langevin,RI,Gwen Moore,M001160,2018-04-09,20537
63,115,hr5004,Rep.,Jim Langevin,RI,Jim McGovern,M000312,2018-06-12,29729
64,115,hr5004,Rep.,Jim Langevin,RI,Grace Meng,M001188,2018-06-27,21342
65,115,hr5004,Rep.,Jim Langevin,RI,José E. Serrano,S000248,2018-07-10,29134
66,115,hr5004,Rep.,Jim Langevin,RI,Mark Pocan,P000607,2018-07-10,21370
67,115,hr5004,Rep.,Jim Langevin,RI,Joseph P. Kennedy III,K000379,2018-07-13,21335
68,115,hr5004,Rep.,Jim Langevin,RI,Jamie Raskin,R000606,2018-08-07,21741
69,115,hr5005,Rep.,Al Lawson,FL,Ted Deutch,D000610,2018-02-13,20959
70,115,hr5005,Rep.,Al Lawson,FL,Alcee L. Hastings,H000324,2018-02-13,29337
71,115,hr5005,Rep.,Al Lawson,FL,Debbie Wasserman Schultz,W000797,2018-02-13,20504
72,115,hr5005,Rep.,Al Lawson,FL,Frederica Wilson,W000808,2018-02-13,21118
73,115,hr5005,Rep.,Al Lawson,FL,Bill Posey,P000599,2018-02-13,20909
74,115,hr5005,Rep.,Al Lawson,FL,Kathy Castor,C001066,2018-02-13,20708
75,115,hr5005,Rep.,Al Lawson,FL,Stephanie Murphy,M001202,2018-02-13,21738
76,115,hr5005,Rep.,Al Lawson,FL,John Rutherford,R000609,2018-02-13,21744
77,115,hr5005,Rep.,Al Lawson,FL,Lois Frankel,F000462,2018-02-13,21321
78,115,hr5005,Rep.,Al Lawson,FL,Carlos Curbelo,C001107,2018-02-13,21512
79,115,hr5005,Rep.,Al Lawson,FL,Daniel Webster,W000806,2018-02-13,21116
80,115,hr5005,Rep.,Al Lawson,FL,Charlie Crist,C001111,2018-02-13,21712
81,115,hr5005,Rep.,Al Lawson,FL,Gregory W. Meeks,M001137,2018-02-13,29776
82,115,hr5005,Rep.,Al Lawson,FL,Eleanor Holmes Norton,N000147,2018-02-13,NA
83,115,hr5005,Rep.,Al Lawson,FL,Hank Johnson,J000288,2018-02-13,20712
84,115,hr5005,Rep.,Al Lawson,FL,Earl Blumenauer,B000574,2018-02-13,29588
85,115,hr5005,Rep.,Al Lawson,FL,Jim Costa,C001059,2018-02-13,20501
86,115,hr5005,Rep.,Al Lawson,FL,Darren Soto,S001200,2018-02-13,21746
87,115,hr5005,Rep.,Al Lawson,FL,Donald M. Payne Jr.,P000604,2018-02-13,31103
88,115,hr5005,Rep.,Al Lawson,FL,Val Demings,D000627,2018-02-14,21713
89,115,hr5005,Rep.,Al Lawson,FL,Jamie Raskin,R000606,2018-02-26,21741
